loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
AN_RPT_004	ANTMOL0099	2.51734104	3.446078431	3.138601036	3.441618497	3.104042806
AN_MOL_001	ANTMOL0138	2.75	3.558252427	3.895454545	3.550480769	3.197368421
AN_DIE_002	ANTMOL0143	2.347368421	2.858585859	2.943099274	3.553333333	3.082814446
AN_DIE_001	ANTMOL0152	1.709287116	2.908163265	3.244094488	2.815192744	3.133928571
AN_VOL_002	ANTMOL0353	3.082644628	2.744827586	2.895442359	3.052479815	2.682422452
AN_BAL_001	ANTMOL0539	2.547029703	2.334437086	3.673333333	2.912679426	3.21037037
AN_BGO_002	ANTMOL0546	3.422382671	2.321428571	4.051807229	3.616033755	3.577263445
AN_MOL_003	ANTMOL0555	2.813411079	2.56462585	3.412181303	3.670336037	2.171753016
AN_RPT_003	ANTMOL0568	2.148246546	3.578651685	2.931585678	3.320610687	3.441958042
AN_BGO_001	ANTMOL0576	1.704402516	4.280966767	2.892026578	3.362091503	2.423952491
AN_VOL_001	ANTMOL0607	2.959631728	2	3.423705722	2.7617866	2.128735632
AN_MUI_001	ANTMOL0659	2.791754757	2.676339286	2.5	3.667082294	3.312337662
AN_DES_004	ANTMOL0716	2.423504868	3.368995633	3.556213018	3.005675955	3.00685401
AN_RPT_001	ANTMOL0720	2.669571046	4.452631579	3.736961451	3.256339581	2.63343254
ANTMRK0204	ANTMRK0204	2.882352941	4.079545455	3.408860759	3.843023256	3.229420732
ANTMRK0206	ANTMRK0206	1.507692308	3.871727749	3.488662132	3.675368139	3.859197578
AN_STB_001	ANTNIJ0045	2	2.798657718	4.25390625	3.261875761	2.544654939
AN_OLB_003	ANTOLE0018	2.686666667	2.918918919	2.586448598	2.775223499	3.489781022
AN_OLB_002	ANTOLE0052	2.595744681	2.079470199	2.797183099	2.456815115	3.426821406
AN_OLB_001	ANTOLE0119	2	3.513157895	2.685860889	3.097269625	2.69568398
AN_TUR_001	ANTOTH0015	2.103174603	1.89084507	3.732758621	3.598155468	3.500932256
AN_LDL_003	ANTOTH0270	1	2.636563877	3.767964072	3.709379128	3.048117155
AN_LDL_001	ANTOTH0271	1.817766497	2.768656716	4.002915452	3.859456635	3.630461165
AN_LDL_002	ANTOTH0306	2.310344828	3.395348837	4.03133515	3.881188119	3.647982063
NA	ANTOTH0321	2.023457863	3.659340659	4.12970297	4.06016791	3.312264861
AN_LDL_004	ANTOTH0324	2.243380855	3.331521739	3.246575342	3.37043379	3.264632628
