scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	statistic	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0486087224780405	0.045083240114099	0.052104775972668	1	0.713904904222825
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0571096359537439	0.0483641247409273	0.0654262600956053	0.999999999983716	0.164213973358945
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0633808042287343	0.04845160135505	0.080115228870579	0.992182102386949	0.159342915993159
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0431528691650667	0.0403092883821043	0.0456703234562416	1	0.993391576369297
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0459907200799856	0.0377773800548981	0.053789015428769	1	0.710271768139743
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0373506804790045	0.0354308989700821	0.0395617407644934	1	0.999999999999989
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0451376133045942	0.0413646299024784	0.0497859407504665	1	0.920960915752348
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0512809430422037	0.043219702554395	0.0607937186829596	0.999999999999924	0.456522298981192
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0409402237030398	0.0384176754587408	0.0432935917473552	1	0.999999996744077
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0443332777597839	0.036629271535046	0.0526864529327966	1	0.789079759974155
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0360966648482912	0.0341072818157591	0.0380785298865249	1	1
